jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
31,51,盒8,3890.0239,59.3191,2.4369,23.4978,41.8817,1.2692,12.1059,2.2701,207.4119,4.5565,2.5312,110.5149,134.1764,1
31,51,盒8,3890.1489,59.317,2.5929,23.4736,45.0093,1.3418,12.8515,2.3863,205.8916,5.0011,2.5698,122.0464,144.1941,1
31,51,盒8,3890.2739,59.3324,2.7329,23.4798,49.1304,1.3437,12.7943,2.3456,208.0649,5.9406,2.5902,116.0782,135.9959,1
31,51,盒8,3890.3989,59.3658,2.7879,23.8706,56.0049,1.34,12.8774,2.3146,215.9093,7.2833,2.5916,105.4697,123.7345,1
31,51,盒8,3890.5239,59.4151,2.7642,24.288,68.8484,1.3359,12.8016,2.2573,223.1817,9.6128,2.5819,94.5586,109.3815,1
31,51,盒8,3890.6489,59.4716,2.7132,24.4085,83.5219,1.3841,12.363,2.1222,228.0375,11.6268,2.5761,79.4244,90.3745,1
31,51,盒8,3890.7739,59.532,2.6291,24.3123,92.1805,1.4078,11.8927,1.9995,232.3492,10.5154,2.5665,63.6941,72.1723,1
31,51,盒8,3890.8989,59.6002,2.5066,24.2642,90.3794,1.3639,11.3176,1.8756,232.8018,7.5603,2.5079,52.4255,59.0764,1
31,51,盒8,3891.0239,59.6865,2.4013,25.1835,77.4003,1.2175,10.1115,1.6641,228.9187,5.371,2.3997,45.6632,51.2496,1
31,51,盒8,3891.1489,59.7892,2.361,26.1338,63.2977,1.0248,8.7644,1.4421,225.57,5.4802,2.3298,42.5516,47.6408,1
31,51,盒8,3891.2739,59.9016,2.4136,26.8772,54.1884,0.931,8.0097,1.3252,223.9855,6.9311,2.3535,43.1364,47.8991,1
31,51,盒8,3891.3989,60.0117,2.4685,26.6637,48.6366,0.9214,7.9367,1.3144,221.5139,7.0012,2.3932,46.1669,50.6344,1
31,51,盒8,3891.5239,60.1073,2.4344,25.8223,43.4784,0.9491,8.098,1.3376,218.2644,6.2286,2.4135,48.3975,52.2763,1
31,51,盒8,3891.6489,60.1787,2.3177,24.7623,41.4411,1.0366,8.4539,1.3899,215.1453,5.8891,2.4438,47.674,51.0113,1
31,51,盒8,3891.7739,60.2221,2.1703,24.1016,45.133,1.1234,8.6175,1.4216,215.5815,6.998,2.4921,44.2243,47.3666,1
31,51,盒8,3891.8989,60.241,2.0337,23.8723,50.9709,1.1777,8.5043,1.3949,219.6852,8.3578,2.5285,39.9178,42.9103,1
